Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol h?e	vol.depol 532	error vol.depol 	partdepolh?e	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.263501	2.460152	0.369023	1.573479	0.236022	0.854047	0.128107	-9018.443951	2731.421172	-9880.318213	2861.024252	-3665.80775	-1238.970223	-6279.280999	-2047.754717	-0.225629	0.774371	1.104834	0.579372	0.881571	0.269798	0.263501	0.019123	0.001912	0.263501	0.032459	0.003246	2	297.804077	100509.1797	0.263501	0.011624	0.001162	0.263501	0.028529	0.002853	0	0	0.263501	1.53605	0.00023	-3676.291102	3.511129	-2393.34103	-2313.83708	0	0	0	0	0	0	0	0	0	0	0	0.465454	0	0	0.263501	2.460147	NaN	-3439.003707	3.340706	-1397.885314	0	0.007922	0.001486	0.00009
0.270973	2.459425	0.368914	1.568637	0.235296	0.848147	0.127222	-8281.918199	2170.724944	-9129.606827	2328.839524	-3367.420622	-1016.930775	-5820.089368	-1722.285567	-0.240895	0.759105	1.111723	0.582984	0.887126	0.271498	0.270973	0.018499	0.00185	0.270973	0.031222	0.003122	9.47146	297.707184	100405.25	0.270973	0.010673	0.001067	0.270973	0.024396	0.00244	0	0	0.270973	1.531038	0.00023	-2809.083827	2.669612	-1834.757405	-1765.2469	0	0	0	0	0	0	0	0	0	0	0	0.462808	0	0	0.270973	2.453937	NaN	-2613.752284	2.532698	-1065.125953	0	0.007916	0.001485	0.00009
0.278444	2.450921	0.367638	1.562152	0.234323	0.842098	0.126315	-7847.65013	2004.699919	-8683.335186	2175.945532	-3201.918971	-948.524137	-5558.571294	-1623.394885	-0.250149	0.749851	1.113401	0.583864	0.891476	0.272829	0.278444	0.018266	0.001827	0.278444	0.030769	0.003077	16.942921	297.610291	100301.3203	0.278444	0.008768	0.000877	0.278444	0.016172	0.001617	0	0	0.278444	1.525277	0.000229	-2207.312093	2.166552	-1447.154766	-1436.92274	0	0	0	0	0	0	0	0	0	0	0	0.460969	0	0	0.278444	2.440809	NaN	-2030.490899	2.042976	-831.892571	0	0.00791	0.001484	0.00009
0.285915	2.449025	0.367354	1.555849	0.233377	0.836501	0.125475	-7449.422386	1867.313107	-8272.874312	2051.073431	-3041.791458	-888.563399	-5317.273841	-1540.799428	-0.259181	0.740819	1.121483	0.588102	0.895262	0.273988	0.285915	0.018058	0.001806	0.285915	0.030369	0.003037	24.414381	297.513397	100197.3828	0.285915	0.00865	0.000865	0.285915	0.015673	0.001567	0	0	0.285915	1.522769	0.000228	-1685.610356	1.73052	-1106.937385	-1148.495164	0	0	0	0	0	0	0	0	0	0	0	0.458833	0	0	0.285915	2.434672	NaN	-1535.121663	1.623379	-630.525145	0	0.007905	0.001483	0.00009
0.293387	2.440091	0.366014	1.548821	0.232323	0.829807	0.124471	-7090.259598	1758.996364	-7907.461725	1956.510403	-2905.735427	-842.3968	-5105.470953	-1477.233847	-0.269661	0.730339	1.12364	0.589233	0.900323	0.275536	0.293387	0.018059	0.001806	0.293387	0.030386	0.003039	31.885841	297.416534	100093.4531	0.293387	0.008624	0.000862	0.293387	0.015567	0.001557	0	0	0.293387	1.521252	0.000228	-1218.922761	1.313609	-801.263012	-871.829352	0	0	0	0	0	0	0	0	0	0	0	0.45569	0	0	0.293387	2.435285	NaN	-1106.033591	1.2325	-454.170135	0	0.007899	0.001482	0.00009
0.300858	2.433258	0.364989	1.542043	0.231306	0.823199	0.12348	-6755.133568	1667.068197	-7565.462426	1876.42853	-2776.168781	-801.745928	-4906.129082	-1422.072719	-0.280058	0.719942	1.127549	0.591283	0.90553	0.27713	0.300858	0.018102	0.00181	0.300858	0.030487	0.003049	39.3573	297.319641	99989.52344	0.300858	0.008636	0.000864	0.300858	0.015626	0.001563	0	0	0.300858	1.511658	0.000227	-820.747918	0.876549	-542.945481	-585.550612	0	0	0	0	0	0	0	0	0	0	0	0.452354	0	0	0.300858	2.426726	NaN	-732.454669	0.832219	-301.828395	0	0.007894	0.001481	0.00009
0.30833	2.427274	0.364091	1.534647	0.230197	0.816446	0.122467	-6437.609419	1585.2707	-7238.765982	1803.885316	-2652.197344	-764.733775	-4716.89226	-1371.955738	-0.289953	0.710047	1.133348	0.594324	0.910477	0.278644	0.30833	0.01815	0.001815	0.30833	0.0306	0.00306	46.828762	297.222748	99885.59375	0.30833	0.008648	0.000865	0.30833	0.015685	0.001568	0	0	0.30833	1.5051	0.000226	-511.204977	0.491923	-339.64845	-330.784553	0	0	0	0	0	0	0	0	0	0	0	0.447885	0	0	0.30833	2.416657	NaN	-442.490379	0.471899	-183.1002	0	0.007888	0.00148	0.00009
0.315801	2.417417	0.362613	1.529276	0.229391	0.81022	0.121533	-6133.449353	1509.392986	-6913.607706	1731.174997	-2537.191443	-731.22758	-4520.837543	-1319.594553	-0.295987	0.704013	1.131956	0.593594	0.916462	0.280476	0.315801	0.018225	0.001823	0.315801	0.030769	0.003077	54.30022	297.125885	99781.66406	0.315801	0.008676	0.000868	0.315801	0.01581	0.001581	0	0	0.315801	1.498225	0.000225	-333.238079	0.272659	-222.421904	-185.021207	0	0	0	0	0	0	0	0	0	0	0	0.443468	0	0	0.315801	2.409647	NaN	-273.152556	0.262919	-113.357903	0	0.007882	0.001479	0.00009
0.323273	2.406866	0.36103	1.522664	0.2284	0.804194	0.120629	-5837.650433	1437.399962	-6593.490618	1658.552881	-2425.415719	-699.297516	-4330.234117	-1268.207033	-0.300981	0.699019	1.131854	0.593541	0.920982	0.281859	0.323273	0.018277	0.001828	0.323273	0.03089	0.003089	61.771683	297.032501	99679.78125	0.323273	0.008698	0.00087	0.323273	0.015913	0.001591	0	0	0.323273	1.490016	0.000224	-234.865233	0.15573	-157.625989	-107.156871	0	0	0	0	0	0	0	0	0	0	0	0.438552	0	0	0.323273	2.399856	NaN	-174.999361	0.148853	-72.920763	0	0.007877	0.001478	0.000089
0.330744	2.397651	0.359648	1.516495	0.227474	0.79784	0.119676	-5548.584535	1366.715312	-6270.810073	1582.553953	-2314.175565	-667.399864	-4135.069303	-1213.977622	-0.302484	0.697516	1.132407	0.593831	0.92657	0.283569	0.330744	0.018329	0.001833	0.330744	0.031014	0.003101	69.243141	296.946655	99582.25781	0.330744	0.008723	0.000872	0.330744	0.016031	0.001603	0	0	0.330744	1.48234	0.000222	-176.075247	0.100831	-118.781931	-70.316043	0	0	0	0	0	0	0	0	0	0	0	0.433769	0	0	0.330744	2.393177	NaN	-114.023669	0.091459	-47.64532	0	0.007871	0.001477	0.000089
